dataset,method_name,k,acc_mean,acc_std,ll_mean,pred_mean,total_mean,mem_mean,acc_diff,pred_speedup
Diabetes130US,emb_cosine,16,0.57,0.0014,0.977,6.3472,16.3247,52119.9562,-0.0476,3.0667
Diabetes130US,emb_cosine,32,0.5727,0.0021,0.9225,8.6079,17.2897,52119.9562,-0.0449,2.2613
Diabetes130US,emb_cosine,64,0.5836,0.0011,0.8937,12.8881,21.7446,52119.9562,-0.0341,1.5103
Diabetes130US,emb_cosine,128,0.5944,0.0004,0.8754,22.587,32.0489,67764.1985,-0.0232,0.8618
Diabetes130US,emb_euclidean,16,0.5695,0.0012,0.9762,6.608,16.5688,52119.9562,-0.0482,2.9457
Diabetes130US,emb_euclidean,32,0.5721,0.003,0.9226,8.8658,18.3515,52119.9562,-0.0455,2.1955
Diabetes130US,emb_euclidean,64,0.5836,0.0018,0.8942,13.1472,22.6417,52119.9562,-0.034,1.4805
Diabetes130US,emb_euclidean,128,0.5948,0.0006,0.8755,23.5962,33.2405,67764.1985,-0.0229,0.8249
Diabetes130US,full_tabicl,81412,0.6176,0.0011,0.8371,19.4648,23.5134,53565.7368,0.0,1.0
Diabetes130US,random,16,0.5718,0.0033,0.9377,27.0688,35.8478,52119.9562,-0.0458,0.7191
Diabetes130US,random,32,0.5718,0.0031,0.9275,29.5056,39.0286,52119.9562,-0.0458,0.6597
Diabetes130US,random,64,0.5739,0.0017,0.9184,33.6001,43.2636,52119.9562,-0.0438,0.5793
Diabetes130US,random,128,0.5821,0.0011,0.8964,44.7924,55.0734,67764.1985,-0.0356,0.4346
Diabetes130US,raw_cosine,16,0.5369,0.0033,1.0399,5.6347,15.85,52119.9562,-0.0807,3.4545
Diabetes130US,raw_cosine,32,0.5406,0.0023,0.9829,7.8963,16.6829,52119.9562,-0.077,2.465
Diabetes130US,raw_cosine,64,0.554,0.0027,0.9476,12.1754,21.1117,52119.9562,-0.0636,1.5987
Diabetes130US,raw_cosine,128,0.5756,0.0014,0.9109,22.1193,31.6446,67839.1973,-0.042,0.88
Diabetes130US,raw_euclidean,16,0.5354,0.0039,1.0432,5.8996,15.8257,52119.9562,-0.0823,3.2993
Diabetes130US,raw_euclidean,32,0.5393,0.0032,0.9831,8.1602,17.691,52119.9562,-0.0784,2.3853
Diabetes130US,raw_euclidean,64,0.5536,0.003,0.9478,12.473,22.1325,52119.9562,-0.0641,1.5606
Diabetes130US,raw_euclidean,128,0.5745,0.0029,0.9109,23.0455,32.6946,67839.1973,-0.0431,0.8446
MagicTelescope,emb_cosine,16,0.8521,0.0011,0.3771,0.8798,1.6688,3649.2841,-0.0517,1.1729
MagicTelescope,emb_cosine,32,0.8715,0.0038,0.3263,1.3081,2.1763,6543.0733,-0.0323,0.7889
MagicTelescope,emb_cosine,64,0.8819,0.0023,0.296,2.0845,2.8557,12322.8483,-0.0219,0.4951
MagicTelescope,emb_cosine,128,0.8871,0.0025,0.2817,3.8951,4.6718,23886.1476,-0.0167,0.2649
MagicTelescope,emb_cosine,256,0.8924,0.0034,0.2708,7.6131,8.4052,47014.7359,-0.0114,0.1355
MagicTelescope,emb_euclidean,16,0.8525,0.0017,0.3767,0.8881,1.6949,3649.2841,-0.0513,1.162
MagicTelescope,emb_euclidean,32,0.8712,0.0028,0.3263,1.3128,2.1798,6543.0733,-0.0325,0.7861
MagicTelescope,emb_euclidean,64,0.8814,0.0025,0.2958,2.0939,2.8645,12322.8483,-0.0224,0.4928
MagicTelescope,emb_euclidean,128,0.8877,0.002,0.2816,3.8995,4.6696,23886.1476,-0.0161,0.2646
MagicTelescope,emb_euclidean,256,0.8923,0.0036,0.2711,7.6119,8.3969,47014.7359,-0.0115,0.1356
MagicTelescope,full_tabicl,15216,0.9038,0.0045,0.2456,1.0319,1.5167,3638.075,0.0,1.0
MagicTelescope,random,16,0.8269,0.0055,0.4358,3.623,4.4757,3648.276,-0.0769,0.2848
MagicTelescope,random,32,0.8459,0.008,0.397,4.032,4.8213,6542.0652,-0.0579,0.2559
MagicTelescope,random,64,0.8568,0.0071,0.3611,4.8412,5.6241,12322.8483,-0.047,0.2132
MagicTelescope,random,128,0.8622,0.0053,0.3317,6.6338,7.4167,23886.1476,-0.0416,0.1556
MagicTelescope,random,256,0.8683,0.0052,0.3141,10.3045,11.0956,47014.7359,-0.0355,0.1001
MagicTelescope,raw_cosine,16,0.8458,0.0056,0.3896,0.8632,1.6636,3652.3274,-0.058,1.1954
MagicTelescope,raw_cosine,32,0.8648,0.004,0.3386,1.2821,2.1565,6546.1166,-0.039,0.8049
MagicTelescope,raw_cosine,64,0.878,0.0039,0.3038,2.0647,2.8416,12326.316,-0.0258,0.4998
MagicTelescope,raw_cosine,128,0.8849,0.0039,0.2856,3.8688,4.6411,23889.1909,-0.0189,0.2667
MagicTelescope,raw_cosine,256,0.8937,0.0032,0.2722,7.5982,8.3714,47018.5641,-0.0101,0.1358
MagicTelescope,raw_euclidean,16,0.8466,0.0025,0.3931,0.8705,1.6774,3652.3274,-0.0572,1.1854
MagicTelescope,raw_euclidean,32,0.8662,0.003,0.3349,1.2906,2.155,6546.1166,-0.0375,0.7996
MagicTelescope,raw_euclidean,64,0.8772,0.0013,0.3034,2.0721,2.8483,12326.316,-0.0266,0.498
MagicTelescope,raw_euclidean,128,0.8853,0.0031,0.2848,3.8796,4.6529,23889.1909,-0.0185,0.266
MagicTelescope,raw_euclidean,256,0.8918,0.0018,0.273,7.5978,8.3908,47018.5641,-0.012,0.1358
MiniBooNE,emb_cosine,16,0.931,0.0011,0.1858,8.4286,21.4544,54965.4246,-0.0232,3.4895
MiniBooNE,emb_cosine,32,0.9315,0.0017,0.1836,11.3192,22.8746,54965.4246,-0.0226,2.5984
MiniBooNE,emb_cosine,64,0.9373,0.0018,0.1741,16.7974,28.5581,54965.4246,-0.0169,1.7509
MiniBooNE,emb_euclidean,16,0.9312,0.0012,0.1855,9.0751,21.9175,54965.4246,-0.023,3.2409
MiniBooNE,emb_euclidean,32,0.9318,0.0018,0.183,11.9558,24.5577,54965.4246,-0.0224,2.46
MiniBooNE,emb_euclidean,64,0.9376,0.0016,0.1737,17.4678,29.829,54965.4246,-0.0165,1.6837
MiniBooNE,full_tabicl,104051,0.9542,0.0017,0.1178,29.4114,34.259,57584.13,0.0,1.0
MiniBooNE,random,16,0.8737,0.0017,0.3756,35.9886,47.2751,54965.4246,-0.0805,0.8172
MiniBooNE,random,32,0.8914,0.0018,0.3313,38.5895,51.3226,54965.4246,-0.0628,0.7622
MiniBooNE,random,64,0.9064,0.0012,0.2801,44.1035,57.2245,54965.4246,-0.0478,0.6669
MiniBooNE,random,128,0.9156,0.0016,0.2306,60.5511,74.2448,82024.7383,-0.0385,0.4857
MiniBooNE,raw_cosine,16,0.923,0.0024,0.2187,7.2596,20.232,54965.4246,-0.0311,4.0514
MiniBooNE,raw_cosine,32,0.9246,0.002,0.2039,10.1507,21.9394,54965.4246,-0.0295,2.8975
MiniBooNE,raw_cosine,64,0.9333,0.0025,0.182,15.6261,27.4819,54965.4246,-0.0209,1.8822
MiniBooNE,raw_euclidean,16,0.9237,0.001,0.2103,7.9365,20.9476,54965.4246,-0.0304,3.7058
MiniBooNE,raw_euclidean,32,0.9264,0.0016,0.1981,10.8268,23.4598,54965.4246,-0.0277,2.7165
MiniBooNE,raw_euclidean,64,0.9341,0.001,0.1804,16.3016,29.0667,54965.4246,-0.02,1.8042
adult,emb_cosine,16,0.8415,0.0042,0.3867,2.4905,4.5732,9729.2989,-0.034,1.9433
adult,emb_cosine,32,0.8507,0.0019,0.341,3.5248,5.2231,11316.8348,-0.0249,1.373
adult,emb_cosine,64,0.8593,0.0019,0.3146,5.5869,7.2786,21120.3958,-0.0162,0.8662
adult,emb_cosine,128,0.8663,0.0027,0.2992,10.2213,11.9193,40731.1488,-0.0093,0.4735
adult,emb_cosine,256,0.8686,0.0019,0.2905,21.3547,23.0762,79943.8525,-0.007,0.2266
adult,emb_euclidean,16,0.841,0.0043,0.3863,2.548,4.6602,9729.2989,-0.0345,1.8994
adult,emb_euclidean,32,0.8509,0.0023,0.3405,3.5822,5.306,11315.7105,-0.0246,1.351
adult,emb_euclidean,64,0.86,0.0017,0.3143,5.645,7.3339,21120.3958,-0.0155,0.8573
adult,emb_euclidean,128,0.8665,0.0026,0.299,10.2863,11.9866,40731.1488,-0.009,0.4705
adult,emb_euclidean,256,0.8689,0.0017,0.2905,21.5787,23.3118,79943.8525,-0.0067,0.2243
